,delivery,ball,rightHandedBat,rightArmedBowl,bowlingStyle,ballSpeed,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
98451,2.12.6,6,True,False,ORTHODOX,24.215,2,2,2,,0.109,4.801,0.168,0.405,80.0,51.0
98453,2.13.2,2,True,False,SEAM,26.153,1,1,1,,0.19,7.069,0.103,0.606,61.0,78.0
98457,2.13.6,6,True,False,SEAM,26.28,2,2,2,,-0.098,6.608,0.457,0.539,78.0,50.0
98459,2.14.2,2,True,True,LEG_SPIN,26.172,1,1,1,,0.092,8.707,0.24,0.536,12.0,35.0
98461,2.14.4,4,True,True,LEG_SPIN,25.249,1,1,1,,0.175,4.009,0.055,0.697,60.0,78.0
98463,2.14.6,6,True,True,LEG_SPIN,25.962,0,0,0,,0.353,3.217,-0.423,0.427,0.0,0.0
99359,2.1.2,2,True,False,ORTHODOX,24.876,1,0,0,Lb,-0.035,5.864,0.328,0.728,5.0,5.0
99361,2.1.4,4,True,False,ORTHODOX,26.865,4,4,4,,0.099,6.825,0.422,0.757,52.0,95.0
99362,2.1.5,5,True,False,ORTHODOX,24.62,6,6,6,,-0.054,4.691,0.146,0.593,86.0,14.0
99363,2.1.6,6,True,False,ORTHODOX,25.408,1,1,1,,0.094,5.242,0.201,0.591,58.0,24.0
99364,2.2.1,1,True,False,FAST_SEAM,39.774,1,1,1,,0.061,7.879,-0.303,0.921,34.0,38.0
99367,2.2.4,4,True,False,FAST_SEAM,36.433,0,0,0,,-0.234,13.233,-0.496,1.724,5.0,5.0
99368,2.2.5,5,True,False,FAST_SEAM,35.952,1,0,1,Wd,-0.564,13.274,0.738,2.03,5.0,5.0
99369,2.2.6,5,True,False,FAST_SEAM,37.638,1,1,1,,-0.44,10.914,0.353,1.244,36.0,38.0
99371,2.3.1,1,True,True,FAST_SEAM,38.678,6,6,6,,0.249,3.825,-0.082,0.425,55.0,93.0
99372,2.3.2,2,True,True,FAST_SEAM,38.356,6,6,6,,0.538,9.485,-0.188,1.151,62.0,6.0
99373,2.3.3,3,True,True,FAST_SEAM,33.152,0,0,0,,0.882,9.956,-0.906,1.12,5.0,5.0
99374,2.3.4,4,True,True,FAST_SEAM,37.977,6,6,6,,0.543,9.596,-0.216,1.162,92.0,62.0
99375,2.3.5,5,True,True,FAST_SEAM,35.423,4,4,4,,0.65,9.381,-0.483,1.06,10.0,25.0
99376,2.3.6,6,True,True,FAST_SEAM,35.996,1,1,1,,0.555,8.177,-0.366,0.939,29.0,47.0
99377,2.4.1,1,True,True,FAST_SEAM,32.896,6,6,6,,0.309,4.266,-0.17,0.524,10.0,70.0
99378,2.4.2,2,True,True,FAST_SEAM,34.196,1,1,1,,0.773,10.55,-0.574,1.009,70.0,25.0
99380,2.4.4,4,True,True,FAST_SEAM,37.645,4,4,4,,0.022,11.132,1.124,1.345,64.0,7.0
99381,2.4.5,5,True,True,FAST_SEAM,34.667,1,1,1,,0.597,8.129,-0.383,1.001,26.0,43.0
99383,2.5.1,1,True,True,LEG_SPIN,22.271,6,6,6,,0.268,0.018,-0.267,0.04,10.0,17.0
99384,2.5.2,2,True,True,LEG_SPIN,26.218,0,0,0,,0.005,6.901,0.186,0.526,5.0,5.0
99385,2.5.3,3,True,True,LEG_SPIN,26.641,1,1,1,,0.3,6.929,-0.032,0.805,59.0,79.0
99391,2.6.3,3,True,True,FAST_SEAM,37.525,1,1,1,,0.516,8.678,-0.045,0.784,59.0,8.0
99393,2.6.5,5,True,True,FAST_SEAM,37.61,6,6,6,,0.55,9.567,-0.185,1.055,85.0,80.0
99394,2.6.6,6,True,True,FAST_SEAM,35.702,0,0,0,,0.71,11.323,-0.447,1.207,5.0,5.0
99396,2.7.2,2,True,True,LEG_SPIN,23.884,1,1,1,,0.624,4.873,-0.822,0.448,21.0,53.0
99398,2.7.4,4,True,True,LEG_SPIN,21.499,0,0,0,,0.408,5.955,-0.234,0.807,0.0,0.0
100635,1.1.1,1,True,True,OFF_SPIN,24.169,1,1,1,,0.213,6.01,0.198,0.735,62.0,34.0
100638,1.1.4,4,True,True,OFF_SPIN,26.134,4,4,4,,0.311,5.553,-0.399,0.61,7.0,45.0
100639,1.1.5,5,True,True,OFF_SPIN,24.196,0,0,0,,0.373,6.145,-0.314,0.806,0.0,0.0
100640,1.1.6,6,True,True,OFF_SPIN,23.578,0,0,0,,0.488,6.336,-0.117,0.662,0.0,0.0
100642,1.2.2,2,True,False,SEAM,35.941,4,4,4,,0.517,10.797,-0.641,1.405,83.0,45.0
100643,1.2.3,3,True,False,SEAM,37.368,0,0,0,,0.332,9.007,-0.092,1.048,0.0,0.0
100644,1.2.4,4,True,False,SEAM,38.477,4,0,0,B,0.727,8.233,-1.072,1.022,0.0,0.0
100645,1.2.5,5,True,False,SEAM,37.718,4,4,4,,0.489,8.666,-0.4,1.022,12.0,27.0
100646,1.2.6,6,True,False,SEAM,38.168,4,4,4,,0.557,10.167,-0.22,1.223,83.0,50.0
100648,1.3.2,2,True,True,OFF_SPIN,26.753,1,1,1,,0.492,4.734,-0.327,0.622,26.0,25.0
100650,1.3.4,4,True,True,OFF_SPIN,24.158,4,4,4,,0.537,5.634,-0.139,0.678,12.0,61.0
100651,1.3.5,5,True,True,OFF_SPIN,25.313,1,0,0,Lb,0.404,7.066,0.162,0.57,0.0,0.0
100655,1.4.3,3,True,False,ORTHODOX,27.432,1,1,1,,0.198,6.54,0.13,0.719,65.0,34.0
100658,1.4.6,6,True,False,ORTHODOX,28.001,1,1,1,,0.367,7.352,0.102,0.827,39.0,59.0
100659,1.5.1,1,True,True,OFF_SPIN,26.069,1,1,1,,0.232,5.83,-0.097,0.714,28.0,25.0
100661,1.5.3,3,True,True,OFF_SPIN,26.714,1,1,1,,0.228,6.047,0.057,0.425,65.0,50.0
100663,1.5.5,5,True,True,OFF_SPIN,25.879,1,1,1,,0.183,4.308,0.125,0.531,58.0,61.0
100665,1.6.1,1,True,False,ORTHODOX,27.963,1,1,1,,0.341,4.905,-0.118,0.502,35.0,59.0
100669,1.6.5,5,True,False,ORTHODOX,28.611,0,0,0,,0.433,7.455,0.08,0.906,0.0,0.0
100670,1.6.6,6,True,False,ORTHODOX,26.526,1,1,1,,0.446,5.662,-0.313,0.669,39.0,52.0
100671,1.7.1,1,True,True,OFF_SPIN,23.082,0,0,0,,0.275,5.381,-0.069,0.713,0.0,0.0
100672,1.7.2,2,True,True,OFF_SPIN,25.626,1,1,1,,0.079,6.36,0.08,0.585,51.0,59.0
100679,1.8.3,3,True,False,ORTHODOX,26.011,1,1,1,,0.317,6.305,-0.154,0.682,14.0,45.0
100681,1.8.5,5,True,False,ORTHODOX,27.253,1,1,1,,0.542,6.229,-0.367,0.707,17.0,41.0
100684,1.9.2,2,True,True,MEDIUM_SEAM,30.417,2,2,2,,0.505,7.78,-0.615,0.815,12.0,34.0
100685,1.9.3,3,True,True,MEDIUM_SEAM,30.28,1,1,1,,0.258,9.022,-0.216,1.004,71.0,43.0
100687,1.9.5,5,True,True,MEDIUM_SEAM,36.744,0,0,0,,0.439,12.171,0.008,2.035,0.0,0.0
